Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank BM25_score system_name

hurricane isabel damage:

2 Q0 Thermohaline_circulation 20 4.583154391545098 OkapiBM25NoStopNoStem
2 Q0 Atmospheric_convection 21 4.530398125450222 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Ione 22 4.525927751490087 OkapiBM25NoStopNoStem
2 Q0 Polar_low 23 4.4807610632748585 OkapiBM25NoStopNoStem
2 Q0 Thunderstorm 24 4.466365574936278 OkapiBM25NoStopNoStem
2 Q0 1991_Perfect_Storm 25 4.425038516661917 OkapiBM25NoStopNoStem
2 Q0 Weather 26 4.403451419775407 OkapiBM25NoStopNoStem
2 Q0 Effects_of_Hurricane_Isabel_in_North_Carolina 27 4.401994258091845 OkapiBM25NoStopNoStem
2 Q0 Nor%27easter 28 4.3110013190957055 OkapiBM25NoStopNoStem
2 Q0 La_Ni%C3%B1a 29 4.294994155163799 OkapiBM25NoStopNoStem
2 Q0 Hurricane_hunters 30 4.200287619054259 OkapiBM25NoStopNoStem
2 Q0 Freezing_rain 31 4.171382686522018 OkapiBM25NoStopNoStem
2 Q0 Severe_weather 32 4.049707302472021 OkapiBM25NoStopNoStem
2 Q0 100-year_flood 33 3.997170723693757 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Paloma 34 3.9695931176511587 OkapiBM25NoStopNoStem
2 Q0 Global_warming 35 3.9587253817368113 OkapiBM25NoStopNoStem
2 Q0 2017_Pacific_hurricane_season 36 3.919342599169174 OkapiBM25NoStopNoStem
2 Q0 World_Meteorological_Organization 37 3.8613889590737576 OkapiBM25NoStopNoStem
2 Q0 Heat_wave 38 3.7858997929421054 OkapiBM25NoStopNoStem
2 Q0 2006_Pacific_typhoon_season 39 3.781957192045356 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Cesar%E2%80%93Douglas 40 3.7264560445678505 OkapiBM25NoStopNoStem
2 Q0 Eyewall_replacement_cycle 41 3.7237379127321146 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Hortense 42 3.6946572185946627 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Fabian 43 3.6881113303155377 OkapiBM25NoStopNoStem
2 Q0 Geophysical_Fluid_Dynamics_Laboratory 44 3.6756368123585954 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Kenna 45 3.6630275307772306 OkapiBM25NoStopNoStem
2 Q0 Catastrophe_modeling 46 3.6334718106845982 OkapiBM25NoStopNoStem
2 Q0 Convection 47 3.6079726674075765 OkapiBM25NoStopNoStem
2 Q0 Tropical_cyclone 48 3.5952004247796703 OkapiBM25NoStopNoStem
2 Q0 National_Oceanic_and_Atmospheric_Administration 49 3.5531235800926018 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Iniki 50 3.525608501088377 OkapiBM25NoStopNoStem
2 Q0 United_States_Geological_Survey 51 3.4587959203214096 OkapiBM25NoStopNoStem
2 Q0 Space_environment 52 3.432725317656903 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Joaquin 53 3.416517923441026 OkapiBM25NoStopNoStem
2 Q0 Pacific_hurricane 54 3.354251456914472 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Harvey 55 3.3287882416730024 OkapiBM25NoStopNoStem
2 Q0 Honda_CBR600F 56 3.238445120878698 OkapiBM25NoStopNoStem
2 Q0 Tropical_cyclones_in_popular_culture 57 3.231001819500446 OkapiBM25NoStopNoStem
2 Q0 Hurricane_Tomas 58 3.2231590351762165 OkapiBM25NoStopNoStem
