Ranking (Top 100) for the queries in Queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

hurricane isabel damage:

2 Q0 Hurricane_Fabian 45 0.06363334 LuceneNoStopNoStem
2 Q0 National_Oceanic_and_Atmospheric_Administration 46 0.06363334 LuceneNoStopNoStem
2 Q0 Hurricane_Cesar%E2%80%93Douglas 47 0.061265234 LuceneNoStopNoStem
2 Q0 Hurricane_Hortense 48 0.061265234 LuceneNoStopNoStem
2 Q0 Hurricane_Iniki 49 0.061265234 LuceneNoStopNoStem
2 Q0 Hurricane_Kenna 50 0.061265234 LuceneNoStopNoStem
2 Q0 Hurricane_Tomas 51 0.061265234 LuceneNoStopNoStem
2 Q0 Pacific_hurricane 52 0.061265234 LuceneNoStopNoStem
2 Q0 Hurricane_Joaquin 53 0.061137225 LuceneNoStopNoStem
2 Q0 Convection 54 0.056387655 LuceneNoStopNoStem
2 Q0 Tropical_cyclones_in_popular_culture 55 0.054542862 LuceneNoStopNoStem
2 Q0 United_States_Geological_Survey 56 0.054542862 LuceneNoStopNoStem
2 Q0 Extratropical_cyclone 57 0.05360708 LuceneNoStopNoStem
2 Q0 Hurricane_Mitch 58 0.05360708 LuceneNoStopNoStem
2 Q0 Tropical_cyclone 59 0.05360708 LuceneNoStopNoStem
2 Q0 Tropical_Storm_Thelma 60 0.05360708 LuceneNoStopNoStem
2 Q0 Hurricane_Sandy 61 0.050681576 LuceneNoStopNoStem
2 Q0 James_Franklin_(meteorologist) 62 0.048902564 LuceneNoStopNoStem
2 Q0 Hurricane_Harvey 63 0.047717303 LuceneNoStopNoStem
2 Q0 Drizzle 64 0.04752007 LuceneNoStopNoStem
2 Q0 Jet_stream 65 0.045948926 LuceneNoStopNoStem
2 Q0 Hurricane_Ike 66 0.045452386 LuceneNoStopNoStem
2 Q0 2009_Atlantic_hurricane_season 67 0.045284413 LuceneNoStopNoStem
2 Q0 Sea_spray 68 0.042002205 LuceneNoStopNoStem
2 Q0 Willys_Hurricane_engine 69 0.041580062 LuceneNoStopNoStem
2 Q0 Central_Pacific_Hurricane_Center 70 0.039122052 LuceneNoStopNoStem
2 Q0 Fiji_Meteorological_Service 71 0.039122052 LuceneNoStopNoStem
2 Q0 United_States_Naval_Research_Laboratory 72 0.03829077 LuceneNoStopNoStem
2 Q0 Space_Shuttle 73 0.03759177 LuceneNoStopNoStem
2 Q0 Water 74 0.03759177 LuceneNoStopNoStem
2 Q0 Weather_radar 75 0.03759177 LuceneNoStopNoStem
2 Q0 Honda_CBR600F 76 0.037567917 LuceneNoStopNoStem
2 Q0 Hurricane_Frances 77 0.036308303 LuceneNoStopNoStem
2 Q0 Hurricane_Katrina 78 0.03566338 LuceneNoStopNoStem
2 Q0 Hurricane!_(Nova) 79 0.034579337 LuceneNoStopNoStem
2 Q0 2017_Atlantic_hurricane_season 80 0.033880692 LuceneNoStopNoStem
2 Q0 2017_Pacific_typhoon_season 81 0.033880692 LuceneNoStopNoStem
2 Q0 Azores_High 82 0.033601765 LuceneNoStopNoStem
2 Q0 National_Space_Biomedical_Research_Institute 83 0.033601765 LuceneNoStopNoStem
